Emotion,Statement
anger,also happened small beaten mother fault mine beaten younger brother thought fault angry mother
fear,heard teasing bulling secondary school
anger,someone show meeting spite agreed come
fear,scared dark little boy
anger,irritates people talk behind back prefer people tell to face instead talking behind back
anger,felt angry failed exam knew quite thing deserve plucked
shame,dad went sport day parent there cheering u
guilt,affair good friend s best friend every time see best friend feel guilt can t tell him
fear,vertigo standing ladder painting house
sadness,grandmother died life heavy last hour terrible
joy,selected university college nursing
guilt,went shopping mother sister year old mother always told sister buy instead assisting sister defending mother s interference behaved aggressively towards sister
joy,naturally got discharged second birthday
guilt,knew take exam soon yet start studying also knew imprtant succeed exam time
shame,saw tv china winning gold medal asian olympics
joy,joyful received present book pencil headmaster standard passed became said one pupil good behaviour
shame,tried hide fact person irrelevant reason considered attitude childish
guilt,neglecting work done around house telling roommate would get done
anger,girl entered division work greeted everybody me
joy,evening class teacher got positive feedback atmosphere good kind relaxed understanding exists
shame,year old wet school
sadness,first girlfriend left other
guilt,one lover told flirt
joy,saw person seen long time
guilt,said something said public
anger,captain basketball team usually organise roster system everyone team turn either duty ref lot time girl can t bothered forget usually fill in
joy,back home long time meeting beloved people close friend
shame,running front crowd slipped fell wet lawn
guilt,home yard plaing football cousin certain quick ball went uncontrolled putting bird cage killing it
disgust,saw part prince video crawling bath tub
joy,realized fellow member grown spiritually leader spiritual group prayed him want burn incense mother forced it finally mother told could discontinue got good result school
joy,felt happy end day student camp shared hope aspiration open situation generated made strong frienships experienced worth well
anger,summer workplace person kept interfering task making unfounded remark felt hatred stopped realized longed attention
joy,unexpectedly met person like much spontaneously invited integrated within group although late evening
sadness,argue mother way treat two child differently
sadness,child dog getting disease dying
anger,sometimes quarrel mother blame me though way connected event
guilt,party night still liquor left morning after went kitchen pretending prepare tea caught fiancee pouring rum throat
guilt,caught shop lifting shame
fear,cycling country came across large herd cow
guilt,lie age accepted member group
joy,watching er lose game game year year finally rewarded super bowl victory made extremely happy
disgust,friend beer spree vomitted sitting room
sadness,close friend victoria visited holiday enjoyed company immensely short day overwhelmed sadness left return victoria
sadness,loss woman loved till today
anger,peer want meet someone rush fear would give bad outlook sororoty house seen this blew did
anger,partner attacked lost three teeth
shame,broke tea saucer felt ashamed birthday girlfriend
guilt,one day mother went visit friend came back scolded kept house order decided talk her
disgust,serie fact occurred colleague started feel certain necessity get apart want see anymore
guilt,go work study midterm
sadness,could get university wanted get in
sadness,grandfather sick died felt sad though sick
disgust,drunk man fallen street shouting obscene word
disgust,younger sister visited school holiday told would go back school pregnant
anger,falling love although friend angry myself
joy,found wife pregnant
fear,went visit friend hospital going operated next day afraid would let know reaction would seeing me
shame,when example fail undertaking
anger,mother time trying separate good friend who thought good company me finally breakfast one day argument tried defend friend
sadness,learned dad cancer knew going hospital test mom told picked one weekend cal take home
disgust,saw woman subjugated money able hide hated power get situation convenient according told me
guilt,affectionate feel guilty give much affection receive
shame,when adult caught lying behaving badly
joy,school one thought could pas mce end year name announced radio passed happiest person
joy,elected class leader
shame,recently left bag car someone picked hitch hiking spent effort find lived i succeeded
fear,done teacher training course b ed training asked handle ninth standard class boy school scared face class first day
sadness,marriage crisis boredom
sadness,mother unjustly became angry sent room father explained way saw thing correct done thing best intention
joy,sister s wedding
sadness,felt sad two situation described before cat school sadness intermingled feeling
guilt,felt guilt towards mother went live room nijmegen study
sadness,close friend life another city writing long time last time went city see her disappointed see great distance u wa
anger,disagreement mother moved kankaanpss promised help move broke promise hindrance
disgust,day went eat dinner dinning hall found dead fly gravy
joy,computer school left name along four others right one year happy find name medical schhol list
fear,approached gang youth town night
joy,selling used car
guilt,unable help mother cook
fear,called interview kamuzu college nursing
joy,passing pharmacy exam meant tertiary education pharmacy completed
anger,someone borrowed textbook deliberately return it
shame,dishonest boyfriend concerning something important relationship
disgust,child one day playing fell waist mud
sadness,grandmother died summer knew well baked great biscuit hospital expected improve go home soon died sleep
joy,winning local soccer championship year great joy
fear,first oral examination long time especially one day examination feeling studied enough enough time make it
joy,birthday got present desired long time
shame,represent bos meeting
shame,failed piblic argument
fear,once young mother left alone house came back late
anger,senior tried scold insult junior account junior supposed said secondary school
anger,one day child grandmother shut room
disgust,seeing film several bloody crime
anger,argue boyfriend feel though feel superior me
joy,told psychology help people happier
anger,treated unfairly hurt someone love
shame,first girlfriend feeling going defect
fear,examination fealing learned enough
shame,carneval party smooched man day later rather ashamed that
shame,still child told face person touched object belong me
fear,watching procession holy week penitent approached me
guilt,forgot lock outside door land lady s place
joy,happy passed b a first class mark
fear,would bad class get bus school
shame,teacher reminded u summer job however two month yesterday chatting teacher talked summer job felt ashamed
sadness,death general ye jianying
fear,father chronic desease autumn strong fit seizure
disgust,cleaning bathroom apt realizing roommate lived summer never cleaned place
anger,heated discussion spouse concerning new house
disgust,husband quarrelled reason all
anger,punished leader
sadness,felt sad father sick
fear,told attend operation theatre
fear,started study move afraid left alone could manage it
disgust,sister broke cup mother asked reported responsible
sadness,got divorced husband ten year marriage
anger,accused falling love someone s girlfriend true girl friend mine
sadness,feel must somebody talk somebody alone
guilt,stole shirt department store work promoted work privileged section store belief integrity make feel even guiltier
sadness,cousin passed away unexpectedly tragically a murder
shame,found pregnant unmarried
sadness,father resigned work soon elder brother died next day granny died my mother s mother dad remains living member family
guilt,discovered done assignment work place caused lot embarrassment me
sadness,learnt death friend
anger,mother friend speaking badly father separated brother sister allowed listen
disgust,sexually assulted bus
sadness,saw friend mine suffered heavy contusion accident
joy,friend mine told passed entrance exam university
disgust,student talking people nap
shame,got abnormal psychology felt ashamed
guilt,sister asked fetch discotheque km off thick fog snowfall enough room car asked go again way make feel guilty
sadness,beloved grandfather died
disgust,insulted without reason drunk man
fear,exboyfriend threw around dorm talking phone another guy jealous argument thought broke up
shame,dropped bottle state liquor store everyboby started laughing
fear,afraid dead body
guilt,year old stole money mother
anger,boyfriend lied me
shame,well prepared terminal exam teacher tried give three asking easy question burned shame then
fear,walking fairly out of the way street
fear,young gone old lift played antique lift guy discovered warned me frightened
anger,came back surfing find car broken gear money stolen
disgust,untidy heavyly drunk person made endeavour approach me
sadness,left home melbourne come q land study hopped car hugged mother shook hand father sensing immediately father s sadness also flood emotion
guilt,one night dinner nephew naughty quarrelled parent regreted nephew two year old tolerate quarrel made father think child may take care future it slip tongue made realize father keep thought himself still angry dropped bowl chopstick went kitchen drink tea ran side house
fear,climbing stair top ski jumping hill
fear,taking chemistry midterm
joy,asked go someone care
shame,darling found walking hand hand another girl loved also
fear,time drove uncle s car without asked permission first time driving car
disgust,somebody behaves like scoundrel recently colleague mine used name another one benefit
anger,school write essay something wrong do wrote essay mistreated got saturday morning detention along kid show up
shame,shopping person close u created uncomfortable situation her
joy,seeing friend seen long while
shame,lied best friend reform done
disgust,saw girl dressed like american
shame,found someone knew well misunderstanding year
joy,summer sailing friend greece felt joy
joy,boat running another boat
anger,bought new bed apt squeak move it tried fix could not
sadness,girl answer question concerning love her put forward her
fear,village bull jumped fence started chasing friend me frightened till climbed tree
sadness,death parent
guilt,argument brother behaved rather intransigently even cruelly wishing morally hurt person opposed me
disgust,man spat wall house
sadness,felt sad leave girlfriend constant problem failed attempt reconciliation sadness caused irreversibility decision
fear,biking felt bad problem heart respiration
shame,grand father caught eating private jelly bean supply
shame,felt ashamed one day teacher shouted presence boyfriend
guilt,said nasty thing mean friend
guilt,left boy going around without giving explanation
anger,saw parent punishing little child something done opinion even done punished it
joy,last year college received award best student year felt happy got wanted wish fulfilled
fear,thief broke neighbour s house later heard gunshot
sadness,felt sadness grandfather died
sadness,condition accumulated mind funeral news brought awareness close relative passed away
joy,making effort enter university found course school higher education compatible experience potentiality
guilt,wanted borrow lecture note friend lend them
anger,friend mine promised come cinema come
shame,ten year old classmate laughed told father retired
joy,economic crisis got unexpected sum money
sadness,wife died hospital pregnant undergone operation
joy,selected higher education i e grade formi
disgust,close relative got quite drunk relative respected long time looked child
disgust,watching movie called deer hunter tv showed prisoner treated
shame,finding china backward science
joy,felt happy saw brother bus depot month without seing other
anger,people without permission pry belonging take thing it
joy,choral concert appeared solist concert good forgot hard work done before remained undescribable joy feeling warmth security etc
shame,never made malicious joke front boyfriend last week funny loved it died shame
shame,approached person opposite sex rejected
shame,talking friend mine parent education said something realized know friend s parent motif education felt ashamed talked something know anything about
shame,realized belonged country amongst poorest world inspite resource utilize them ashamed country shame lack parity lifestyle citizen
guilt,guilt conscious struck failed standard two examination knew would suffer consequence class hour thus playing friend sometimes even going school
fear,walking along hill fell carelessness broke left arm
shame,watching t v parent pornographic scene came on felt uncomfortable tried distract parent attention talking them
disgust,wanted take something bed felt dead bird laying bed
guilt,mother father forbidden ride scooter road transgressed together wild kid across street riding scooter steep hill near house mother sent boy next door collect me severely scolded
joy,receiving result slip pas birthday
disgust,saw lady putting pair trouser felt disguise according malawi culture
shame,someone told good english class
joy,recently managed get first consulting assignment myself i e initiative
anger,student working group showed responsibility interest work
joy,friend s birthday party closest friend pleasant one could say happy good friend
fear,reprimanded manager hotel worked autumn
sadness,said good bye girlfriend spent two year developing relationship unsuccessful felt sad
joy,get something seemed hard like getting job boyfriend etc specific sutuations started date boy liked long time
disgust,friend mine got drunk started blame scorn friend me
fear,last week saturday night mchesi feared cross lilongwe river bridge come back school due darkness somebody escort me
shame,promised help friend weekend keep promise
anger,missed tram run it
disgust,read monk murdered put barrel filled blood pig
shame,friend found lying particular occasion
joy,child
shame,arrived two hour late work place a bank still feeling feeble tired
fear,got lost foreign town know language country took hour meet friend again
anger,discussing something person realize person thinking argumentation instead listening become angry
disgust,reading paper feature henry lucas claim killed people recreational killer necrophiliac zoophiliac raped beaten many woman killed men too
anger,really angry president general unzasu arrested policeman
fear,somebody told friend would hit wherever would meet
anger,thief broke house stole valuable good
sadness,girl seeing want serious relationship
anger,felt occasion felt sadness finally grew anger
anger,noisy guest arrived hotel slightly irritated earlier night trying sleep party went yelled them wanted sleep get early next day
fear,young got lost street police found day
anger,failed s s c exam
fear,mother met serious accident danger would survive would loose memory
joy,met dear friend mine long time expressed feeling usual way mutual scolding abusing with complete understanding touching patting taking hand person etc
sadness,india lost benson hedge cricket trophy
joy,situation felt happiest life person love first time
disgust,girlfriend s sister viper discovered time ago
fear,walking night saw fire suspended air split several segment something could see suspected witch craft
disgust,talking someone disliked
sadness,saw dead child covered knocked car
joy,achieved goal indirectly work cal football nd win season gratifying brought joy hard work involved fact one expected would win
fear,accident hurt eye afraid injured badly
guilt,discussion reacted aggressively made impossible continue discussing
disgust,saw documentary film world war ii about hitler adept
guilt,took french leave homework
disgust,went spend night relative mine found bed wet previous night
shame,felt shame hurt caused family especially parent father shame hurting people emotionally misconceived self blaming good shame am
disgust,several week ago problem friend felt disgusted friend
disgust,next door nieghbour ran cat driveway tried finish flat shovel would taken cat veterinary either kill humanely cure
joy,week saw girlfriend again
guilt,offended mother
anger,traffic often get relatively angry driver several transgression make mad especially yielding priority traffic e g coming right
fear,father s home broken thief gun
fear,thunder belt hit roof top building in
fear,six year old mistook cat leopard entered room night
fear,caught police kept group delinquent added fear shut up afraid people near future consequence
shame,football match leaving stadium the stadium packed people lost shoe crowd attempt find give result go home without one shoe word cross whole town
shame,university dining room alone table next mine thre several professor one asked join them refused insisted others started looking move table
anger,student s union someone took photocopy two large volume asked let take few refused acceptable reason
sadness,someone tell something hurt me feel bad also feel sad
sadness,give love work well
shame,ashamed saw boy girl age earn lot money good hard work
shame,school talking classmate mathematics grown weary said i would like throw book arse kuikka classmate said now sitting waiting book kuikka one quiet boy class ashamed myself
joy,meeting loved man
sadness,fianct left best friend
joy,friend told really like me
guilt,feel guilty done something rate done it
sadness,disagreement parent alone father sister aggression continued father tried put sister mother revealing fact happened past like talk father mother law told mother quite save
sadness,made sad hear construction company going build house beautiful hill house
guilt,friend asked help able help
joy,happy got attractive summer job
anger,misunderstood friend
fear,felt feeling one day landlord s cat crept bed cope hour half
sadness,sister died fire accident home
sadness,brother soldier promised come home furlough last moment phoned said could come
sadness,finished relationship boyfriend felt unhappy long time
disgust,disgusted liers hypocrite slanderer flunkey
anger,said something boyfriend disagreed with walked away without discussing bothered him became angry treating way yesterday november
joy,mother tremendous phone talked hour good mood
anger,somebody took wristwatch promised mended later telling give back rude certain time
joy,saw mark obtained exam good one
disgust,boy refused lover told friend girl refused faithful him
fear,heard rumour st year exam result out fear might one failure
guilt,shown anger toward dog killed later day
guilt,let person assume fault committed
guilt,shouting parent angry something else
fear,waiting mark difficult subject
joy,long time of communication him physical illness worry lover came see me least expected see him
fear,surf ski rather large wave strong current separated ski began drift slowly actually rather quickly away sea direction drifting taking straight reef rather large shark constantly caught i alone one help me
fear,one day went cinema see film interested arriving saw long queue which expected went back home without seeing film
disgust,saw someone picked cigarette floor smoked it
joy,finding grade end freshman year
joy,received acceptance form second year university
joy,nice letter close friend
guilt,always happens often keep word
shame,taking difficult midterm one class felt shame studying much have ashamed result midterm
fear,near accident car driving fast icy road
fear,go lonely street middle night
anger,father s new fiancee treat like child trust constantly misunderstands me get particularly angry say nasty thing boyfriend work
guilt,sheer pleasure it quarelled boyfriend trying especially kind me
disgust,vividly remember feeling disgust toward jr high classmate work schoolwork would coplain take tax money older successful were time pictured adult like knew complaining situation
sadness,child grass parakeet liked much leg crippled could move fast came room notice stepped him day later died
guilt,father alone long time mother sister holiday seen long time finally called realized sad that
fear,close auto accident almost driving road
fear,relationship family poor often fear excluded group fear stronger situation argument hand
anger,always get angry somebody deceives me try conceal lie skilfully offends even more
disgust,heard treatment friend jail really inhuman never realised thing also happen netherlands
shame,felt something akin shame heavy night drinking along waking woman met whose husband epileptic later know knew mother
shame,embarrassed friend asking aloud certain person the source gossip told about person also present
anger,close relative tried dissuade studying psychology low status
joy,got home pleasant trip abroad got know accepted university
joy,felt joy admitted higher agricultural institute
fear,alone walking deserted part city fear men would attack rob me
anger,starting student project teacher talked negative helpful
guilt,cheated father told school administration wanted k purchase mini bus two month later school authority wrote back father money could go back ask money already given once
shame,funeral uncle one bearer familiar etiquette acted tactlessly ignorance
shame,first failed standard exam first attempt form selection
joy,happened selected go secondary school start form october
disgust,n z rugby union announced would proceed rugby tour south africa
fear,could land plane knew fuel running out bad weather already frightened u
guilt,realized friend like comment pas presence
guilt,lied home told going christian meeting went see boyfriend instead
anger,felt unfairly treated airport told use different counter for domestic traffic only
shame,sincerely i m timid guy even simple situation sometimes ashamed
joy,passed exam thought failed
anger,rearranged furniture flat got stuck chair
fear,moved away home feared leaving
fear,feeling sensed quite recently arisen terrific thought might lose man loved
sadness,read diary girl living another boy going around time back
shame,mother small child found shaking child exasperation get sleep
anger,argument friend mine behaviour towards another friend turned quarrel lost temper nearly knocked out
guilt,reply friend s letter time
fear,awoke night remember dreaming antthing particular felt oppressing fear dark others sleeping
disgust,best friend started getting involved private affair
disgust,saw drunk man urinate upon himsellf seemed thoroughly content it
anger,lived person loft house often occurred person climbed stair much noise studying concentrate got angry
guilt,told authority figure large lie told believed me believed never lied her
shame,young make toilet time hid dirty trouser cellar feared discovered parent
joy,got admission m sc i organic chemistry happy
fear,grade came home school one day told mother skin cancer would go hospital straight away
fear,caught elevator got stuck floor
sadness,evening heard girl went zambia would never come back
sadness,boyfriend decided make end relationship
sadness,death brother
sadness,feel sad event influence
disgust,felt disgust saw drunkard vomiting offensive matter
fear,house night heard hyena cry outside cried almost hour feared might break window enter inside house
shame,teacher said university studets self initiative self control
joy,son born
fear,thief broke house night
disgust,felt disgusted found someone betrayed me person dishonest felt used
disgust,seen people drunk making fool themselves
anger,headmistress secondary school accused banging classroom door front whole class
anger,friend mine tried persuade go place act model felt tired quarter hour appointed time lied want go late anyway said talking looking work possible would accept it angry unjust judgment
joy,appointed position trust group set change working environment
joy,going friend s wedding seeing many old friend known moved new district five year previously
fear,felt physical fear call way today bus sitting first seat turning driver see tram making dash towards u coming side wa whose driver intended cross yellow light
fear,year old grandfather underwent three successive operation single year third operation risky scared would die feared grandmother would sad
anger,saw younger sister bothered boy know
fear,someone frightened dark
shame,well examns well english examns
fear,friend planned search old document utensil cellar late night arrived cellar indicated place police year ago found two dead body got scared told story
disgust,feeling spring sometimes meal catering establishment result either look food watching way people eat
guilt,last year put exam autumn session without knowing supplementary examination session came home exam unpassed felt guilty parent remembered much done me
guilt,go help friend mine though probably needed me
joy,received letter acceptance cal
shame,taking part mobbing girl class primary school
fear,felt afraid dad fell ill never suffered disease since never seen wa
guilt,death father made feel quite guilty attitude towards cold indifferent
sadness,ditched girlfriend
fear,travelling car meet oncoming car overtaking
shame,made sharp remark rehearsal
guilt,friend punished something done
sadness,treatment become pregnant negative result
shame,handing homework time
shame,school bad running long distance class mate laughed reason
disgust,getting back math midterm received lower grade thought would get going question felt grader graded harshly made error
joy,passsed m s c board exam first class expected
sadness,felt sad despised another person
sadness,suffer form disease muscle however cannot talk feeling consequence parent try repress it
sadness,girl went away holiday without saying good bye me
guilt,slept someone close girlfriend myself
disgust,prepared special meal boyfriend brother came home ate all really disgusted it
disgust,drunk urine childhood thinking water friend urinated tin
sadness,saw picture draught etiopia
fear,one year went camp chased dog tried hard finally managed escape it torch suddenly went talked ghost story thought ghost
shame,spot seat cover husband s car
fear,finding health condition may attending university lecture
sadness,thought read boring book page english
fear,child i e hiking reasonably rugged bush becoming lost duration hour
fear,fear sexual overture close relative family
fear,caught huge eel fishing line pulled boat cut line threw whole lot back water later day ten mile away went swimming someone made comment wondering far eel could swim abruptly ended swimming fear unseen eel day left district
shame,forgot something agreed upon good friend
disgust,series freud shown tv it tampon set nose woman forgotten there great pain taken close up picture woman bleeding nose mouth
joy,when example eleventh school year learned classed bulgarian language literature national olympiad
sadness,training australian championship competition year injuring week competiotion
anger,fight class mate
guilt,caught stealing box match supermarket plead guilty
disgust,acquaintance he drunk room mate vomitted kitchen carpet past mid night room mate moved in acquaintance helped move in
fear,railway station waiting last train night noticed drunk young man appraching purposeful mannner
disgust,may somebody blamed made caught peeping nursing test made feel disgusted
joy,experiment getting appropriate result despite fact repeated procedure time finally got right stroke luck
guilt,took away best friend s boyfriend
fear,threatened another person
joy,basketball team undefeated league play currently
shame,cannot recall emotion force
joy,overwhelmed joy received acceptance letter unza happened passed first year course
guilt,late work told bos due transport problem whereas truth woken late thus cheated bos
shame,went sauna first time men woman
joy,finding chosen english lecture
shame,friend mine said something liking come place coming place meanwhile got learn another friend mine arrived place really treated badly later ashamed way treated someone person place
disgust,village tax collector used cheat people collected wanted surplus family himself
joy,special friend said i love you first time
joy,felt joy entered university
shame,one day addressed husband abusive manner front friend later realized felt ashamed myself
fear,week entered army selected day pas hour day waiting answer last worst fear convoked hearing fated phrase constant
sadness,team lost championship
shame,walking school passed red cross post many soldier began pas remark me
anger,told boy friend park certain place car would ger towed away listen towed away stage finance poverty line cost u money get u week including rent
anger,rude somebody impolite me
anger,young brother took wristwatch abscence sold friend cheaper price
anger,bosom friend tried lie me
shame,bad test study for
joy,holiday seeing lanscape gerona
shame,cannot remember situation felt ashamed eating people little boy took care of warned often knock glass mild took chair knocked glass
anger,reached bus stop realized forgotten bus pas
shame,broke down seeing friend
joy,pressing figure curtain cloth bought cloth month hindrance
disgust,read newspaper yr old woman found naked dead along roadside turned two relative kidnapped raped killed earlier
fear,driving car friend mine turned wrong direction towards unknown district nearly drove precipice
joy,felt happy heard passed examination move second year course
sadness,younger good apparatus gymnastics always competition fourth place
fear,remember child storm made terribly afraid thought house coming next day would dead everybody awake stayed night bed without falling asleep
joy,got unexpected letter guy school mate
fear,certain night initiation
disgust,roommate nice party leader order get party
guilt,said something conscience
guilt,girlfriend used call regularly phone while certain moment felt little tension became worse
sadness,experienced emotion friend committed suicide spent afternoon playing discussing life problem
anger,classmate always borrowed note would return time test selfish irresponsible delayed study
fear,house fire saved dog afraid fire verging panic
fear,fear well midterm
shame,said something especially stupid mean all
joy,felt joyful boyfriend met station first said would that
disgust,father thought unrelaible son
disgust,teacher one course gave question sub question going e question asked one half hour involved lot describing explaining even though knew answer could finish work
shame,caught shoplifting police called parent also informed
fear,shooting started lay protect flying bullet incident occured way feira zambia army patrol rhodesia war
disgust,one time hospital passed near intensive care room offensive smell came disgusted way even dare enter room
sadness,alone parent house made plan spend afternoon lover plan lover cancelled watching movie considering life circumstance pressure examination particular
guilt,slapped nephew something considered wrong reprehended this
guilt,met ex boyfriend chance separated month ago new boyfriend ex boyfriend looked depressed know blamed
guilt,turn cook dinner forgot dish the favourite family oven got burnt uneatable
guilt,felt guilt friend punished slash grass gound making noise class group noise maker denied done noise
fear,home alone heard noise roof doorknob drawer
fear,thought house fire night
shame,telling lie
sadness,begining new course one afraid encountering problem one manage thought revolve around failing subject consequence would future
disgust,viewing result senseless vandalism local primary school
joy,fellow player quite unexpectedly score goal mean draw
fear,almost caught girl hostel security men would expelled school caught
shame,tripped getting bus
anger,one friend went told another friend mine going abut another guy lilongwe besides one had said seen hand hand
disgust,realised someone insidiously attempting shit disgusted so afforded excuse so
anger,tried explain plumber face face toilet broken believe it mended ten time
joy,joy came heard going start medical course lilongwe school health science
fear,saw horrible movie alien
fear,last time face face monstrous dog life street
shame,got tight pair trouser examined mirror back looked unpresentable felt ashamed wanting wear clothes day quickly changed another dress
sadness,getting separated girlfriend
shame,one thing make feel shameful see friend age group working earning lot still studying friend met week ago period year earning r month
disgust,went sister boyfriend friend like young man suddenly overcame kissed me strong could defend myself
joy,day got know would get shared dwelling boyfriend parent place getting little crowded growing bother wanting room himself first felt doubt joy also sadness feeling joy strongest
shame,dismissed job accused theft
sadness,felt sad friend mine failed final exam could accepted institution learning
joy,able afford new sofa leather one cost sek waited year
shame,flat bath tub kitchen beginning intensive feeling shame bath people kitchen
joy,admittance university
joy,got anatomy first one ever gotten science class here
joy,going village rather oppressed madrid
joy,accepted chinese university
sadness,drunk couple beer fiancee got angry me
sadness,find dog missing
joy,day feel close partner friend feel peace also experience close contact people regard greatly
disgust,girl also hire room house live always try make quarrel everyone available disgust me
disgust,dirty class mate farted presence terrible smell
joy,lover felt like gone full circle relationship new fresh vital etc again
fear,scared went examination hall m sc examination studied limited partion course thoroughly great doubt whether would asked
shame,bacame involved boy brief moment liked needed sort company consequence expected caused much shame
joy,brother passed exam able graduate course
shame,felt condition found house playing another man s wife asked question unable answer
fear,felt fear month ago losing person loved said love me
sadness,felt sad dear friend needed training school due failure number subject simply know do
fear,friend caught crocodile swimming river whose bank primary school situated friend caught bank river u still middle river frightened
joy,friend mine often difficulty parent child better relationship them
anger,insulted disgusting people
sadness,quarrelled close friend mine
anger,felt angry saw t v last slaughter negro south africa
joy,new year s eve went disco friend amused got know many people
anger,going away weekend leaving college room open returned several friend party there leaving mess
anger,finding student getting good report deserve
shame,misbehaving agency
shame,proposed niece know discovered girlfriend
joy,person seen long time called invited party
sadness,mother unwell went many cancer test spent time hospital opened closed many time
fear,little sister sick home thought would die
guilt,felt guilty lied parent
guilt,offended person done much helped everything
disgust,taking girlfriend out seemed taken time
fear,relative car going slowly frozen road
joy,old schoolfriend phoned arrange appointment talk old memory seen year
sadness,betrayed friend decided stay apart form her
sadness,friend leave other
fear,raped friend
disgust,one day going street door house man asked doctor showed genitals asked cure myself
fear,well one subject last term afraid would fail result grade d though good still passed felt comfortable then
anger,south korea winning gold medal asian olympic more china
sadness,afternoon received two message informing me one brother coma u t h suffering kidney disease two uncle met accident way hospital see brother
anger,mother scolded coming home late i e p m
shame,failed driving test
joy,got young dog
anger,real madrid football team lost inter u e f a cup
guilt,mom told gamble anyway sometimes would even take money parent brother found yelled me
sadness,father suddenly fell ill stayed month hospital last month intensive care academic hospital died
sadness,found coldness hurt somebody s sincerity
anger,insulted people shop
fear,village one enemy written non sense letter girl told father girl culprit got know scared girl s father worse man
sadness,friend breaking boyfriend
shame,proposed love girl turned down
anger,talking sister often ventilates prejudice father also adheres
anger,chief accused error made
joy,get hug someone love
shame,year old pulled trouser friend wanted know looked like mother watched a punishment sent house never spoke that think embarassing me
joy,finally found place live felt relieved predicting change life became happy
fear,hunting lost fog mountain
shame,bar friend fight guy table aside
disgust,people manipulate others appearing better really are
joy,mystic vision melted dazzling light omitted perfect love physical experience became unimportant heard saw word overcome egotism feeling joy remained month experience
disgust,sight insect black beetle
fear,get admission m sc b sc felt really bad started journey bombay accepted uncle s offer come bombay afraid wondering would succeed not
sadness,sad relation friend good
fear,afraid getting alone without friend without anybody
sadness,end school function celebrate leaving friend i d known year
anger,mistreated step mother
anger,outrageous conduct relative towards close me blaming u lying
joy,listening opening bar tchaikovsdy s symphony no fourth movement sister s wedding
guilt,spoke mother phone skin cancer waiting operated forgot ask date operation finishing conversation gave date passing
anger,girlfriend two year told over
joy,liked see aunt from zaire airport appeared impossible go school long time sure could accompany her two day departure told allowed miss school
joy,finished difficult midterm
sadness,alone listen song like much listened together friend
guilt,remember anything particular remember feeling done said something negative consequence
fear,got lost new york city late friday night friend mine
shame,felt shame saw someone knew pretended see her later saw said hi
anger,friend suggested round about way reason late something me i m often late know partly true felt unjustified particular time felt anything anyway i e late
guilt,losing temper spouse
joy,trip greece competition
anger,uncleaniness work place place generally clean reach point get angry person supposed clean place people supposed supervise him
shame,highschool time chairman student s comitee function make speech large audience nervous three sentence forgot text
guilt,person family academic ought looked younger and only sister better respect education life experience
disgust,friend told boy wanted get know me time felt disgusted thought nonsense thing
anger,informed flatmate that we d moved flat she d expected u buy food separetely event actually happened month sharing began prior this said nothing
sadness,one best friend hurt girl love
shame,discussion said something rather stupid unnecessary
fear,go home foot a m pas forest going alone
sadness,unrealisation desired profession aviator
disgust,worked life saving sevice saw first exitus
disgust,hamburger bar man table nearby started coughing spitting plate
fear,day university result came excited scared failed know would want work family ambivalent
shame,something unworthy
guilt,criticizing mother refused drive radio on told thought intelligent enough cope radio
sadness,boy look probation service deliberately offended provoke reaction police
disgust,experienced disgust people usually double dealer
guilt,felt guilty made mother angry
shame,teacher asked question know answer stood still minute without saying word
shame,ashamed shouted daughter marital break up unfair way treated
fear,good friend told one evening want live anymore
guilt,realized three examination take
joy,admitted bulgarian state conservatoire
guilt,one let friend
sadness,one best friend commited siucide holiday
joy,couple year ago summer holiday fishing lake husband suddenly started raining sun still shining experienced feeling joy happiness fulfillment whole nature full music
fear,travel alone unescorted first time over night journey train distant place
sadness,boyfriend could stand mother himself
disgust,slept guy best friend wanted to never intercourse anyone terrible complex it
anger,took part football match referee extremely partial opposite team stirred discontent anger
joy,told could take week go trip friend
shame,breaking implicit promise
joy,contract shop signed
guilt,grandmother hospital week still time see her
joy,day work school relationship came wanted recognized work
fear,alone night
sadness,sadness no felt something much stronger father died
guilt,face face deceived friend sleeping wife
fear,one night sleeping woke suddenly sensation someone room
shame,took shower girl hall felt let devotion god go window although nothig happened felt ashamed
sadness,dog died
shame,group people everybody told say something confusing strong traumatic situation me
guilt,felt came home examination session said passed last exam
fear,really strong emotion falling sleep caught sight cm diameter spider crawling onto pillow beside me
guilt,houseman told young girl like allowed lecture consultant shy argue them
fear,cleaning pile junk house huge spider a jungle spider ran near me i like even small spider
sadness,cousin passed away holiday home fell ill night next day died evening
joy,sister born
shame,last exarcise agricultural machine went yard examine row machine seemed fulfilled task well teacher came asked question unable answer felt awkward deserve it
sadness,nephew s mother left one day my brother married nephew anthony shaken sad similar situation happened me
anger,christmas holdidays wanted invite brother girlfriend child dinner said brother s girlfriend would like come place dinner refused never mentioned never asked her
guilt,hated one mmy flatmate nice me
joy,birth first child
shame,first time caressed girl thirteen eighteen noticed affect all
sadness,dreamt father s death secondary school screaming top voice woken friend day really sad
shame,every time write something well english
guilt,driving friend s car got close pavement ask way struck parked car
disgust,first anatomy lesson
guilt,scolded dad bad behaviour
fear,dreamed attacked friend
anger,person authority school teacher telling blatant lie headmistress would let defend myself also telling lie member family
fear,skiing friend wanted ski jump want left behind braced followed them
